,1Wc1,1KWc1,MWEc1,CPMc1,CWHc1,YWMc1,YWKc1,MWBWX,BL2c1,AGRc1,WEAc1,NWTc1,LWBc1
2020-12-15,249.92673899827756,249.92673899827756,249.92673899827756,249.83447901730383,249.92673899827756,249.92673899827756,249.92673899827756,249.83447901730383,249.83447901730383,249.83447901730383,249.83447901730383,249.58926213593182,249.83447901730383
2020-12-16,250.06855094420598,250.06855094420598,250.06855094420598,249.92673899827756,250.06855094420598,250.06855094420598,250.06855094420598,249.92673899827756,249.92673899827756,249.92673899827756,249.92673899827756,249.8445316478564,249.92673899827756
2020-12-17,250.1607122168284,250.1607122168284,250.1607122168284,250.06855094420598,250.1607122168284,250.1607122168284,250.1607122168284,250.06855094420598,250.06855094420598,250.06855094420598,250.06855094420598,249.8190419947735,250.06855094420598
2020-12-18,250.2238448012808,250.2238448012808,250.2238448012808,250.1607122168284,250.2238448012808,250.2238448012808,250.2238448012808,250.1607122168284,250.1607122168284,250.1607122168284,250.1607122168284,249.83447901730383,250.1607122168284
2020-12-19,250.46260903646373,250.46260903646373,250.46260903646373,250.2238448012808,250.46260903646373,250.46260903646373,250.46260903646373,250.2238448012808,250.2238448012808,250.2238448012808,250.2238448012808,249.92673899827756,250.2238448012808
2020-12-20,250.43406117043352,250.43406117043352,250.43406117043352,250.46260903646373,250.43406117043352,250.43406117043352,250.43406117043352,250.46260903646373,250.46260903646373,250.46260903646373,250.46260903646373,250.06855094420598,250.46260903646373
2020-12-21,250.4596115505936,250.4596115505936,250.4596115505936,250.43406117043352,250.4596115505936,250.4596115505936,250.4596115505936,250.43406117043352,250.43406117043352,250.43406117043352,250.43406117043352,250.1607122168284,250.43406117043352
2020-12-22,250.57463086990998,250.57463086990998,250.57463086990998,250.4596115505936,250.57463086990998,250.57463086990998,250.57463086990998,250.4596115505936,250.4596115505936,250.4596115505936,250.4596115505936,250.2238448012808,250.4596115505936
2020-12-23,250.75108507022324,250.75108507022324,250.75108507022324,250.57463086990998,250.75108507022324,250.75108507022324,250.75108507022324,250.57463086990998,250.57463086990998,250.57463086990998,250.57463086990998,250.46260903646373,250.57463086990998
2020-12-24,250.888788050094,250.888788050094,250.888788050094,250.75108507022324,250.888788050094,250.888788050094,250.888788050094,250.75108507022324,250.75108507022324,250.75108507022324,250.75108507022324,250.43406117043352,250.75108507022324
